"","date","ccg_id","name","items","cost","list_size","covid_period"
"108","2016-12-01","02D","NHS VALE ROYAL CCG","9","9.1","0","pre-covid year 4"
"109","2016-12-01","93C","NHS NORTH CENTRAL LONDON CCG","11205","200913.11","1551497","pre-covid year 4"
"110","2016-12-01","72Q","NHS SOUTH EAST LONDON CCG","15675","260575.69","1893119","pre-covid year 4"
"111","2016-12-01","W2U3Z","NHS NORTH WEST LONDON CCG","19297","320032.94","2314285","pre-covid year 4"
"112","2016-12-01","A3A8R","NHS NORTH EAST LONDON CCG","18342","281127.49","2087962","pre-covid year 4"
"113","2016-12-01","36L","NHS SOUTH WEST LONDON CCG","16448","250650.84","1619563","pre-covid year 4"
"114","2016-12-01","09D","NHS BRIGHTON AND HOVE CCG","3624","39720.29","311413","pre-covid year 4"
"115","2016-12-01","04C","NHS LEICESTER CITY CCG","4685","59090.63","395141","pre-covid year 4"
"116","2016-12-01","15A","NHS BERKSHIRE WEST CCG","6406","98270.8","528810","pre-covid year 4"
"117","2016-12-01","10Q","NHS OXFORDSHIRE CCG","8933","126457.51","717856","pre-covid year 4"
"118","2016-12-01","D4U1Y","NHS FRIMLEY CCG","9680","127533.8","770335","pre-covid year 4"
"119","2016-12-01","07G","NHS THURROCK CCG","2186","29950.92","172272","pre-covid year 4"
"120","2016-12-01","92A","NHS SURREY HEARTLANDS CCG","13696","226189.57","1074537","pre-covid year 4"
"121","2016-12-01","14L","NHS MANCHESTER CCG","7825","95523.63","611903","pre-covid year 4"
"122","2016-12-01","06N","NHS HERTS VALLEYS CCG","8511","120878.78","635938","pre-covid year 4"
"123","2016-12-01","15F","NHS LEEDS CCG","11638","149829.47","857583","pre-covid year 4"
"124","2016-12-01","03F","NHS HULL CCG","4093","60084.15","293696","pre-covid year 4"
"125","2016-12-01","M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG","13733","206903.51","983930","pre-covid year 4"
"126","2016-12-01","15E","NHS BIRMINGHAM AND SOLIHULL CCG","18057","258265.05","1285130","pre-covid year 4"
"127","2016-12-01","14Y","NHS BUCKINGHAMSHIRE CCG","7726","110328.55","549458","pre-covid year 4"
"128","2016-12-01","04Y","NHS CANNOCK CHASE CCG","1874","22983.14","132006","pre-covid year 4"
"129","2016-12-01","05V","NHS STAFFORD AND SURROUNDS CCG","2102","29132.91","147259","pre-covid year 4"
"130","2016-12-01","99E","NHS BASILDON AND BRENTWOOD CCG","3935","56441.65","275453","pre-covid year 4"
"131","2016-12-01","01E","NHS GREATER PRESTON CCG","3047","42032.98","204270","pre-covid year 4"
"132","2016-12-01","03N","NHS SHEFFIELD CCG","8951","123365.04","588619","pre-covid year 4"
"133","2016-12-01","02E","NHS WARRINGTON CCG","3297","41913.51","215556","pre-covid year 4"
"134","2016-12-01","00X","NHS CHORLEY AND SOUTH RIBBLE CCG","2763","38874.85","180333","pre-covid year 4"
"135","2016-12-01","03R","NHS WAKEFIELD CCG","5616","76834","366060","pre-covid year 4"
"136","2016-12-01","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG","24787","350546.28","1612983","pre-covid year 4"
"137","2016-12-01","02G","NHS WEST LANCASHIRE CCG","1728","20840.64","112386","pre-covid year 4"
"138","2016-12-01","99G","NHS SOUTHEND CCG","2862","37926.02","185948","pre-covid year 4"
"139","2016-12-01","02H","NHS WIGAN BOROUGH CCG","5005","66818.63","324444","pre-covid year 4"
"140","2016-12-01","52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG","16384","190353.18","1056936","pre-covid year 4"
"141","2016-12-01","91Q","NHS KENT AND MEDWAY CCG","28726","377015.04","1847215","pre-covid year 4"
"142","2016-12-01","X2C4Y","NHS KIRKLEES CCG","6783","85784.07","435859","pre-covid year 4"
"143","2016-12-01","15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG","15315","174601.61","981577","pre-covid year 4"
"144","2016-12-01","07H","NHS WEST ESSEX CCG","4851","61505.41","306338","pre-covid year 4"
"145","2016-12-01","05W","NHS STOKE ON TRENT CCG","4571","56168.64","287146","pre-covid year 4"
"146","2016-12-01","03Q","NHS VALE OF YORK CCG","5589","69066.5","350041","pre-covid year 4"
"147","2016-12-01","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG","23022","296106.57","1427343","pre-covid year 4"
"148","2016-12-01","10R","NHS PORTSMOUTH CCG","3603","42517.97","222611","pre-covid year 4"
"149","2016-12-01","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG","14669","206367.67","905382","pre-covid year 4"
"150","2016-12-01","04V","NHS WEST LEICESTERSHIRE CCG","6173","70751.1","380937","pre-covid year 4"
"151","2016-12-01","03H","NHS NORTH EAST LINCOLNSHIRE CCG","2755","35868.35","168916","pre-covid year 4"
"152","2016-12-01","06K","NHS EAST AND NORTH HERTFORDSHIRE CCG","9664","117973.79","589511","pre-covid year 4"
"153","2016-12-01","05Q","NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG","3488","45671.16","211876","pre-covid year 4"
"154","2016-12-01","03L","NHS ROTHERHAM CCG","4319","51502.51","260127","pre-covid year 4"
"155","2016-12-01","36J","NHS BRADFORD DISTRICT AND CRAVEN CCG","10381","123150.93","623286","pre-covid year 4"
"156","2016-12-01","06Q","NHS MID ESSEX CCG","6436","85366.68","385617","pre-covid year 4"
"157","2016-12-01","06L","NHS IPSWICH AND EAST SUFFOLK CCG","6728","97066.16","401932","pre-covid year 4"
"158","2016-12-01","05G","NHS NORTH STAFFORDSHIRE CCG","3623","50334.33","216081","pre-covid year 4"
"159","2016-12-01","00Y","NHS OLDHAM CCG","4205","56589.97","250193","pre-covid year 4"
"160","2016-12-01","99F","NHS CASTLE POINT AND ROCHFORD CCG","3105","39553.14","184078","pre-covid year 4"
"161","2016-12-01","27D","NHS CHESHIRE CCG","12723","176946.42","752864","pre-covid year 4"
"162","2016-12-01","99A","NHS LIVERPOOL CCG","8736","101002.79","514824","pre-covid year 4"
"163","2016-12-01","02X","NHS DONCASTER CCG","5382","65375.91","315564","pre-covid year 4"
"164","2016-12-01","01G","NHS SALFORD CCG","4507","56438.09","263906","pre-covid year 4"
"165","2016-12-01","00T","NHS BOLTON CCG","5194","67232.96","303689","pre-covid year 4"
"166","2016-12-01","01D","NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG","3956","45760.12","228854","pre-covid year 4"
"167","2016-12-01","B2M3M","NHS COVENTRY AND WARWICKSHIRE CCG","16710","179245.97","963800","pre-covid year 4"
"168","2016-12-01","01F","NHS HALTON CCG","2266","25372.75","130229","pre-covid year 4"
"169","2016-12-01","02A","NHS TRAFFORD CCG","4175","52212.09","238840","pre-covid year 4"
"170","2016-12-01","78H","NHS NORTHAMPTONSHIRE CCG","13048","142267.93","742980","pre-covid year 4"
"171","2016-12-01","03W","NHS EAST LEICESTERSHIRE AND RUTLAND CCG","5699","70858.12","323575","pre-covid year 4"
"172","2016-12-01","00Q","NHS BLACKBURN WITH DARWEN CCG","3042","31418.77","172525","pre-covid year 4"
"173","2016-12-01","15M","NHS DERBY AND DERBYSHIRE CCG","18344","204981.23","1038638","pre-covid year 4"
"174","2016-12-01","05D","NHS EAST STAFFORDSHIRE CCG","2484","33122.06","139259","pre-covid year 4"
"175","2016-12-01","70F","NHS WEST SUSSEX CCG","15726","201526.21","874755","pre-covid year 4"
"176","2016-12-01","06H","NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG","16887","204975.15","937196","pre-covid year 4"
"177","2016-12-01","13T","NHS NEWCASTLE GATESHEAD CCG","9331","87249.44","513335","pre-covid year 4"
"178","2016-12-01","01T","NHS SOUTH SEFTON CCG","2811","41081.71","154618","pre-covid year 4"
"179","2016-12-01","11X","NHS SOMERSET CCG","10302","121935.83","565442","pre-covid year 4"
"180","2016-12-01","01J","NHS KNOWSLEY CCG","2981","40572.36","162766","pre-covid year 4"
"181","2016-12-01","03K","NHS NORTH LINCOLNSHIRE CCG","3160","44004.07","172256","pre-covid year 4"
"182","2016-12-01","M2L0M","NHS SHROPSHIRE, TELFORD AND WREKIN CCG","9004","109423.17","487070","pre-covid year 4"
"183","2016-12-01","00V","NHS BURY CCG","3720","41680.28","201046","pre-covid year 4"
"184","2016-12-01","01A","NHS EAST LANCASHIRE CCG","7002","82051.01","376425","pre-covid year 4"
"185","2016-12-01","01V","NHS SOUTHPORT AND FORMBY CCG","2310","28661.53","123709","pre-covid year 4"
"186","2016-12-01","02T","NHS CALDERDALE CCG","4089","45750.49","218898","pre-covid year 4"
"187","2016-12-01","01W","NHS STOCKPORT CCG","5791","63832.27","308001","pre-covid year 4"
"188","2016-12-01","16C","NHS TEES VALLEY CCG","13207","140195.67","696364","pre-covid year 4"
"189","2016-12-01","71E","NHS LINCOLNSHIRE CCG","14922","185382.53","778545","pre-covid year 4"
"190","2016-12-01","01X","NHS ST HELENS CCG","3761","46184.54","195797","pre-covid year 4"
"191","2016-12-01","97R","NHS EAST SUSSEX CCG","10869","132875.94","549802","pre-covid year 4"
"192","2016-12-01","00P","NHS SUNDERLAND CCG","5661","56791.94","284028","pre-covid year 4"
"193","2016-12-01","42D","NHS NORTH YORKSHIRE CCG","8452","117000.38","423821","pre-covid year 4"
"194","2016-12-01","12F","NHS WIRRAL CCG","6744","83532.49","334548","pre-covid year 4"
"195","2016-12-01","02Q","NHS BASSETLAW CCG","2326","21146.08","115058","pre-covid year 4"
"196","2016-12-01","02P","NHS BARNSLEY CCG","5205","62119.89","257018","pre-covid year 4"
"197","2016-12-01","99C","NHS NORTH TYNESIDE CCG","4443","44613.05","217366","pre-covid year 4"
"198","2016-12-01","06T","NHS NORTH EAST ESSEX CCG","7016","81337.54","343122","pre-covid year 4"
"199","2016-12-01","15N","NHS DEVON CCG","24490","300404.72","1197685","pre-covid year 4"
"200","2016-12-01","07K","NHS WEST SUFFOLK CCG","5069","67414.04","246895","pre-covid year 4"
"201","2016-12-01","02Y","NHS EAST RIDING OF YORKSHIRE CCG","6231","90926.23","301737","pre-covid year 4"
"202","2016-12-01","00N","NHS SOUTH TYNESIDE CCG","3227","38251.56","155989","pre-covid year 4"
"203","2016-12-01","01Y","NHS TAMESIDE AND GLOSSOP CCG","5109","52083.86","245277","pre-covid year 4"
"204","2016-12-01","11J","NHS DORSET CCG","16582","197915.67","789957","pre-covid year 4"
"205","2016-12-01","18C","NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG","16411","181496.91","779686","pre-covid year 4"
"206","2016-12-01","11M","NHS GLOUCESTERSHIRE CCG","13409","141922.66","635345","pre-covid year 4"
"207","2016-12-01","26A","NHS NORFOLK AND WAVENEY CCG","22107","287470.51","1035992","pre-covid year 4"
"208","2016-12-01","11N","NHS KERNOW CCG","12062","137532.93","563362","pre-covid year 4"
"209","2016-12-01","00R","NHS BLACKPOOL CCG","3724","37336.65","171988","pre-covid year 4"
"210","2016-12-01","01K","NHS MORECAMBE BAY CCG","7562","81688.5","347686","pre-covid year 4"
"211","2016-12-01","02M","NHS FYLDE AND WYRE CCG","3740","37027.78","169392","pre-covid year 4"
"212","2016-12-01","01H","NHS NORTH CUMBRIA CCG","7285","92579.92","322815","pre-covid year 4"
"213","2016-12-01","00L","NHS NORTHUMBERLAND CCG","7351","71176.75","322944","pre-covid year 4"
"214","2016-12-01","84H","NHS COUNTY DURHAM CCG","13512","131904.43","544072","pre-covid year 4"
"215","2017-01-01","02D","NHS VALE ROYAL CCG","9","8.69","0","pre-covid year 4"
"216","2017-01-01","93C","NHS NORTH CENTRAL LONDON CCG","11180","180845.13","1580041","pre-covid year 4"
"217","2017-01-01","72Q","NHS SOUTH EAST LONDON CCG","15038","222797.82","1913971","pre-covid year 4"
"218","2017-01-01","W2U3Z","NHS NORTH WEST LONDON CCG","18508","271743.74","2341773","pre-covid year 4"
"219","2017-01-01","A3A8R","NHS NORTH EAST LONDON CCG","18123","256013.77","2117153","pre-covid year 4"
"220","2017-01-01","36L","NHS SOUTH WEST LONDON CCG","15395","214134.2","1631329","pre-covid year 4"
"221","2017-01-01","04C","NHS LEICESTER CITY CCG","4325","54647.41","399384","pre-covid year 4"
"222","2017-01-01","15A","NHS BERKSHIRE WEST CCG","6079","85293.25","534890","pre-covid year 4"
"223","2017-01-01","09D","NHS BRIGHTON AND HOVE CCG","3576","43174.58","311300","pre-covid year 4"
"224","2017-01-01","10Q","NHS OXFORDSHIRE CCG","8484","109703.96","727539","pre-covid year 4"
"225","2017-01-01","07G","NHS THURROCK CCG","2025","26411.16","173375","pre-covid year 4"
"226","2017-01-01","92A","NHS SURREY HEARTLANDS CCG","12925","187329.11","1080428","pre-covid year 4"
"227","2017-01-01","D4U1Y","NHS FRIMLEY CCG","9349","123127.89","774755","pre-covid year 4"
"228","2017-01-01","14L","NHS MANCHESTER CCG","7677","82614.53","624967","pre-covid year 4"
"229","2017-01-01","06N","NHS HERTS VALLEYS CCG","8091","105148.43","638326","pre-covid year 4"
"230","2017-01-01","15E","NHS BIRMINGHAM AND SOLIHULL CCG","16797","236280.88","1296316","pre-covid year 4"
"231","2017-01-01","15F","NHS LEEDS CCG","11290","132082.74","868223","pre-covid year 4"
"232","2017-01-01","99E","NHS BASILDON AND BRENTWOOD CCG","3648","45962.8","276251","pre-covid year 4"
"233","2017-01-01","05V","NHS STAFFORD AND SURROUNDS CCG","1955","24952.79","147808","pre-covid year 4"
"234","2017-01-01","M1J4Y","NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG","13128","177712.05","990277","pre-covid year 4"
"235","2017-01-01","14Y","NHS BUCKINGHAMSHIRE CCG","7318","98514.22","551819","pre-covid year 4"
"236","2017-01-01","01E","NHS GREATER PRESTON CCG","2887","36437.19","205861","pre-covid year 4"
"237","2017-01-01","99G","NHS SOUTHEND CCG","2623","31731.72","186689","pre-covid year 4"
"238","2017-01-01","02H","NHS WIGAN BOROUGH CCG","4593","52604.65","325147","pre-covid year 4"
"239","2017-01-01","03F","NHS HULL CCG","4194","60294.24","295374","pre-covid year 4"
"240","2017-01-01","05W","NHS STOKE ON TRENT CCG","4109","45743.16","288462","pre-covid year 4"
"241","2017-01-01","15C","NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG","14315","150334.37","988992","pre-covid year 4"
"242","2017-01-01","52R","NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG","15461","174744.48","1066923","pre-covid year 4"
"243","2017-01-01","D9Y0V","NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG","23656","317111.59","1624373","pre-covid year 4"
"244","2017-01-01","99F","NHS CASTLE POINT AND ROCHFORD CCG","2694","34867.18","184465","pre-covid year 4"
"245","2017-01-01","04Y","NHS CANNOCK CHASE CCG","1937","22064.58","132019","pre-covid year 4"
"246","2017-01-01","91Q","NHS KENT AND MEDWAY CCG","27402","335889.84","1860311","pre-covid year 4"
"247","2017-01-01","D2P2L","NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG","21224","257080.8","1440674","pre-covid year 4"
"248","2017-01-01","05Q","NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG","3126","37818.5","211933","pre-covid year 4"
"249","2017-01-01","00X","NHS CHORLEY AND SOUTH RIBBLE CCG","2685","34209.17","181199","pre-covid year 4"
"250","2017-01-01","02E","NHS WARRINGTON CCG","3215","38085.3","216335","pre-covid year 4"
"251","2017-01-01","07H","NHS WEST ESSEX CCG","4601","55790.23","307828","pre-covid year 4"
"252","2017-01-01","06Q","NHS MID ESSEX CCG","5797","67430.76","387474","pre-covid year 4"
"253","2017-01-01","03N","NHS SHEFFIELD CCG","8903","108683.69","594647","pre-covid year 4"
"254","2017-01-01","03Q","NHS VALE OF YORK CCG","5300","61440.93","351348","pre-covid year 4"
"255","2017-01-01","36J","NHS BRADFORD DISTRICT AND CRAVEN CCG","9443","112043.55","625850","pre-covid year 4"
"256","2017-01-01","X2C4Y","NHS KIRKLEES CCG","6637","77029.19","438081","pre-covid year 4"
"257","2017-01-01","02G","NHS WEST LANCASHIRE CCG","1715","21199.9","113115","pre-covid year 4"
"258","2017-01-01","10R","NHS PORTSMOUTH CCG","3450","35312.56","227288","pre-covid year 4"
